subbasin,data_type,data_collection_type,species,location,description,timeframe,source,where_learned_about,references,notes,machine_readable,pdf_title,subject,author,,,,,,,,,,,
salmon,fish population estimates,Mark Recapture,Fall Chinook,,2004 Fall Chinook salmon run size in the Scott and Salmon Rivers and miscellaneous tributary streams in the mid-Klamath basin,2004,CDFW,,,,,,Klamath basin fall Chinook salmon run size,"Borok, S., M. Hampton and J. Richey",,,,,,,,,,,
scott,escapement,Mark Recapture,All Salmon,,"Chinook and Coho Salmon and fall-run steelhead run-size estimates using mark-recapture methods, 2019-20 season. Annual report.",2020,CDFW,,,,,,"Salmon and steelhead monitoring in the Trinity River basin, 2019-20 season","Kier, M. C., J. Hileman and K. Lindke",,,,,,,,,,,
trinity,escapement,Spawner,Steelhead,tributaries,2003-2004 Annual Report Trinity River Tributaries Winter-Run Steelhead Spawning Survey Report Project 1d1,2004,CDFW,,,Annual Report,,,Annual Report Trinity River Tributaries Winter-Run Steelhead Spawning Survey Report,"Garrison, P.",,,,,,,,,,,
trinity,escapement,"tag, CWT","coho, chinook, steelhead",,TRINITY RIVER BASIN SALMON AND STEELHEAD MONITORING PROJECT: CHINOOK AND COHO SALMON AND FALL-RUN STEELHEAD RUN-SIZE ESTIMATES USING MARK-RECAPTURE METHODS 2003-2004 SEASON,2004,CDFW,,https://nrmsecure.dfg.ca.gov/FileHandler.ashx?DocumentID=84318,CDFW document library,,,,,,,,,,,,,,,
trinity,escapement,Snorkle,All Salmon,south fork,2005 South Fork Trinity River Spring Chinook/Summer Steelhead Snorkel Survey Totals,2005,CDFW,,,,,,South Fork Trinity River Spring Chinook Summer Steelhead Snorkel Survey,"Garrison, P.",,,,,,,,,,,
trinity,escapement,Spawner,Steelhead,tributaries,2004-2005 Annual Report Trinity River Tributaries Winter-Run Steelhead Spawning Survey Report Project 1d1,2005,CDFW,,https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=84319,Annual Report,,2004-05 Trinity Annual Report,Annual Report Trinity River Tributaries Winter-Run Steelhead Spawning Survey Report,"Garrison, P.",,,,,,,,,,,
trinity,escapement,"tag, CWT","coho, chinook, steelhead",,TRINITY RIVER BASIN SALMON AND STEELHEAD MONITORING PROJECT: CHINOOK AND COHO SALMON AND FALL-RUN STEELHEAD RUN-SIZE ESTIMATES USING MARK-RECAPTURE METHODS 2004-2005 SEASON,2005,CDFW,,https://nrmsecure.dfg.ca.gov/FileHandler.ashx?DocumentID=84319,CDFW document library,,,,,,,,,,,,,,,
klamath,fish population estimates,MarkRecapture,CCC Steelhead,,KLAMATH MOUNTAINS PROVINCE STEELHEAD,2014,CDFW,,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwj6wKTt88j9AhXEFzQIHSo3BwgQFnoECAgQAQ&url=https%3A%2F%2Fnrm.dfg.ca.gov%2FFileHandler.ashx%3FDocumentID%3D104327&usg=AOvVaw2UbE_dq7gqfVl622VAUdPL,,,,,,,,,,,,,,,,
shasta,flow,Monitoring baseflow,,,"Karuk Fisheries Department, USFS",?,,IFRMP Phase 4 Report,,,,,,,,,,,,,,,,,
lost,fish population estimates,Monitoring juveniles at A-Canal Fish Evaluation Station per 2019 BiOp,,,USBR,?,,IFRMP Phase 4 Report,,,,,,,,,,,,,,,,,
upper klamath lake,fish population estimates,Monitoring juveniles at A-Canal Fish Evaluation Station per 2019 BiOp,,,USBR,?,USFWS 2019a,IFRMP Phase 4 Report,,,,,,,,,,,,,,,,,
scott,water quality,"Monitoring mainstem Scott river: flow, temperature, conductivity, DO, pH, turbidity, groundwater, nutrients, baterial contamination",,,Quartz Valley Indian Reservation,,,IFRMP Phase 4 Report,,,,,,,,,,,,,,,,,
sprague,fish population estimates,Monitoring of juvenile and adult suckers (Shortnose and Lost River) in lower Sprague,,,USGS PIT tag monitoring network,?,,IFRMP Phase 4 Report,,,,,,,,,,,,,,,,,
lost,fish population estimates,Monitoring of juvenile and adult suckers in Ewauna,,,USBR Klamath Basin Area Office,two decades,,IFRMP Phase 4 Report,,,,,,,,,,,,,,,,,
upper klamath lake,fish population estimates,Monitoring of juvenile and adult suckers in Upper Klamath Lake and Lake Ewauna,,,Klamath Area USBR,two decades,,IFRMP Phase 4 Report,,,,,,,,,,,,,,,,,
lost,fish population estimates,Monitoring of juvenile suckers in Clear Lake Reservoir,,,USGS,2015-ongoing,,IFRMP Phase 4 Report,,,,,,,,,,,,,,,,,
lost,water quality,Monitoring sites,,,USGS/OWRD/CDWR,?,,IFRMP Phase 4 Report,,,,,,,,,,,,,,,,,
lost,water temperature,Monitoring sites,,,USGS/OWRD/CDWR,?,,IFRMP Phase 4 Report,,,,,,,,,,,,,,,,,
shasta,water temperature,Monitoring temperature,,,"Karuk Fisheries Department, USFS",?,,IFRMP Phase 4 Report,,,,,,,,,,,,,,,,,
shasta,water quality,"Monitoring water temperature, DO, discharge, storage at Dwinnell Dam to evaluate effects of tailwater reduction",,,SVRCD,2017,,IFRMP Phase 4 Report,,,,,,,,,,,,,,,,,
shasta,water quality,"Monitors over 130 miles of mainstem Klamath and the mouths of Salmon, Scott, Shasta. At three mainstem sites and three tributary sites this program runs real time sondes. pH, temperature, DP, conductivity, turbidity",,,Karuk Water Quality Department,?,,IFRMP Phase 4 Report,,,,,,,,,,,,,,,,,
sprague,water quality,Nutrient and sediment loads at sites in Sprague River to Upper Klamath Lake,,,Klamath Tribes; USGS,1980-ongoing,,IFRMP Phase 4 Report,,,,,,,,,,,,,,,,,
mid klamath,habitat,Opportunistic habitat reach surveys with multiple physical parameters,,,USFS,?,,IFRMP Phase 4 Report,,,,,,,,,,,,,,,,,
klamath,juvenile monitoring,PitTag,Coho,,Habitat Restoration and Monitoring Program in the Klamath Basin for the Southern Oregon–Northern California Coast Coho Salmon Evolutionary Significant Unit,2012,OTHER,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/midklamath_river_coho_ponds_pit_tag_data,screw trap klamath data,,,,,,,,,,,,,,,
